time,cpu-cycles,instructions,l1d.replacement,icache_64b.iftag_miss,l2_rqsts.all_demand_miss,longest_lat_cache.miss,br_inst_retired.all_branches,frontend_retired.itlb_miss,itlb_misses.walk_completed,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,branch-misses
25.957767788,459362192,1106598572,25314101,1949487,6236922,531897,150647635,20874,51346,42831,16087,1562358
26.057989098,459231418,1109440592,25405874,1953838,6274173,544005,150348004,20028,47144,42959,16538,1561248
26.158223164,459144210,1109975020,25280023,1891025,6210207,549313,150747534,20441,50221,42585,16960,1550596
26.258446322,459310229,1112360750,25521907,1915052,6345733,526967,150932597,19826,47922,43965,16798,1468011
26.358669026,459095766,1110555195,25358008,1893787,6293048,554245,150635326,19853,47002,44382,16568,1544813
26.458900196,459227486,1107562365,25183048,1915489,6368220,538812,150118918,20464,48629,42995,16855,1650253
26.559120785,459234488,1102590674,25085933,1880438,6204678,514164,149064265,19974,49042,42974,16572,1671749
26.659333231,458593895,1091950419,24204819,1851836,6049922,555757,147667440,19446,49020,43103,17161,1850983
26.759564346,459073204,1094032232,24073648,1871900,6026411,508386,147587970,19189,46686,44252,17472,1967535
26.859787696,459127756,1046502078,19861427,5032740,3935138,1762959,162576191,4478,12314,27121,25459,675364
26.960007080,459004907,982729284,25520478,296329,3025594,5686233,122814699,568,1512,23859,294913,532520
27.060259653,458961421,1236382985,35810474,59746,1425164,5006649,107441302,127,290,7328,30961,1145032
27.160492449,459035214,1252073132,37249138,52994,1317924,3606109,111879783,69,147,7469,42917,1022443
27.260708515,459059079,1171740891,28780796,54360,1062011,3931898,111492118,15,301,5523,41212,2152470
27.360945577,459069776,1094965264,19643892,56298,2647940,4220962,140311880,208,367,84848,34427,1993282
27.461157414,458814220,1073594258,7196273,1461721,1425422,1766274,214031952,13058,25742,150178,12286,1269225
27.561399879,459334482,914661514,9049127,3297761,2886952,721668,135754706,26710,49448,5208,6400,1277171
27.661628799,458965817,912051120,9081828,3257692,2864111,729955,135334742,25957,46881,5248,6533,1240185
27.761851837,459045790,915982981,9091136,3247314,2827887,726593,135642854,25401,44838,5080,6507,1142694
27.862091180,459281859,918089047,9091404,3230666,2818902,740020,136030885,25770,43084,4871,6243,1137905
